time,partial_pressure_of_carbon_dioxide_in_sea_water_profiler_depth_enabled,partial_pressure_of_carbon_dioxide_in_sea_water_profiler_depth_enabled_qc_agg,z
UTC,microatm,,m
2015-02-03T10:05:00Z,54350.3521211686,4,-185.0
2015-02-03T11:05:00Z,79533.6388975661,4,-184.0
2015-02-03T12:05:00Z,12134.5888065466,4,-184.0
2015-02-03T13:05:00Z,1872.0460018223,4,-184.0
2015-02-03T14:05:00Z,1445.131458569,4,-184.0
2015-02-03T15:05:00Z,1400.4232167718,4,-184.0
2015-02-03T16:05:00Z,1366.6526700946,4,-184.0
2015-02-03T17:05:00Z,1338.0406702604,4,-185.0
2015-02-03T18:05:00Z,1343.2743720358,4,-185.0
2015-02-03T19:05:00Z,1338.8172911026,4,-185.0
2015-02-03T20:05:00Z,1338.6110256971,4,-185.0
2015-02-03T21:05:00Z,1354.1340173537,4,-185.0
2015-02-03T22:05:00Z,1358.0183970779,4,-185.0
2015-02-03T23:05:00Z,1341.5500130476,4,-184.0
2015-02-04T00:05:00Z,1319.7712308716,4,-184.0
2015-02-04T01:05:00Z,1321.1142265912,4,-183.0
2015-02-04T02:05:00Z,1319.1924776052,4,-183.0
2015-02-04T03:05:00Z,1317.7793527764,4,-183.0
2015-02-04T04:05:00Z,1308.333437035,4,-183.0
2015-02-04T05:05:00Z,1290.8532876366,4,-184.0
2015-02-04T06:05:00Z,1264.1511559239,4,-184.0
2015-02-04T07:05:00Z,1252.4088556184,4,-185.0
2015-02-04T08:05:00Z,1310.6489658704,4,-185.0
2015-02-04T09:05:00Z,1318.6212440645,4,-185.0
2015-02-04T10:05:00Z,1343.0350690816,4,-185.0
2015-02-04T11:05:00Z,1330.8038093068,4,-185.0
2015-02-04T12:05:00Z,1301.866134841,4,-184.0
2015-02-04T13:05:00Z,1279.944622311,4,-184.0
2015-02-04T14:05:00Z,1240.6421919013,4,-184.0
2015-02-04T15:05:00Z,1106.2159350036,4,-184.0
2015-02-04T16:05:00Z,1145.8771743131,4,-184.0
2015-02-04T17:05:00Z,1165.6480230257,4,-184.0
2015-02-04T18:05:00Z,1270.4315408197,4,-185.0
2015-02-04T19:05:00Z,1288.3599128569,4,-185.0
2015-02-04T20:05:00Z,1286.2941754077,4,-185.0
2015-02-04T21:05:00Z,1272.6352891132,4,-185.0
2015-02-04T22:05:00Z,1281.4394937653,4,-185.0
2015-02-04T23:05:00Z,1187.3486841121,4,-185.0
2015-02-05T02:05:00Z,1920.722178786,4,-183.0
2015-02-05T03:05:00Z,1931.1005696945,4,-183.0
2015-02-05T04:05:00Z,1425.5104056836,4,-183.0
2015-02-05T05:05:00Z,1224.1203892495,4,-183.0
2015-02-05T06:05:00Z,1240.334063836,4,-184.0
2015-02-05T07:05:00Z,1217.3963668522,4,-184.0
2015-02-05T08:05:00Z,1241.8664502521,4,-185.0
2015-02-05T09:05:00Z,1247.6445824469,4,-185.0
2015-02-05T10:05:00Z,1211.6293453726,4,-185.0
2015-02-05T11:05:00Z,1198.5866842301,4,-185.0
2015-02-05T12:05:00Z,1182.4611805913,4,-185.0
2015-02-05T13:05:00Z,1186.6917182712,4,-184.0
2015-02-05T14:05:00Z,1092.1076102082,4,-184.0
2015-02-05T15:05:00Z,1207.7728527683,4,-184.0
2015-02-05T16:05:00Z,1082.1632452454,4,-184.0
2015-02-05T18:05:00Z,902.5378939795,1,-185.0
2015-02-05T19:05:00Z,1040.4175881004,4,-185.0
2015-02-05T20:05:00Z,568.3006791064,1,-43.0
2015-02-05T21:05:00Z,1109.5408570694,4,-191.0
2015-02-05T22:05:00Z,1171.7767131953,4,-191.0
2015-02-05T23:05:00Z,1223.9226892782,4,-190.0
2015-02-06T00:05:00Z,1262.1003680057,4,-190.0
2015-02-06T01:05:00Z,1215.9307547086,4,-189.0
2015-02-06T02:05:00Z,1080.4204139061,4,-189.0
2015-02-06T03:05:00Z,1091.7413790177,4,-189.0
2015-02-06T04:05:00Z,1076.3064507817,4,-189.0
2015-02-06T05:05:00Z,1067.6077750321,4,-189.0
2015-02-06T06:05:00Z,1105.810600173,4,-189.0
2015-02-06T07:05:00Z,1183.6283618394,4,-190.0
2015-02-06T08:05:00Z,1195.1076802361,4,-190.0
2015-02-06T09:05:00Z,1181.0341643782,4,-191.0
2015-02-06T10:05:00Z,1189.8977521272,4,-191.0
2015-02-06T11:05:00Z,1236.7036810415,4,-191.0
2015-02-06T12:05:00Z,1185.4536133935,4,-190.0
2015-02-06T13:05:00Z,1175.4686193232,4,-190.0
2015-02-06T14:05:00Z,1120.0137467486,4,-190.0
2015-02-06T15:05:00Z,1091.9134605378,4,-189.0
2015-02-06T16:05:00Z,1061.6144057323,4,-189.0
2015-02-06T17:05:00Z,1095.9216952215,4,-189.0
2015-02-06T18:05:00Z,1124.0712725152,4,-190.0
2015-02-06T19:05:00Z,1137.9156733457,4,-190.0
2015-02-06T20:05:00Z,1133.9780323368,4,-190.0
2015-02-06T21:05:00Z,1145.3826924792,4,-191.0
2015-02-06T22:05:00Z,1100.6676977374,4,-191.0
2015-02-06T23:05:00Z,1118.1508264892,4,-190.0
2015-02-07T00:05:00Z,1072.4548939145,4,-190.0
2015-02-07T01:05:00Z,1088.9392334131,4,-190.0
2015-02-07T02:05:00Z,1088.6231126446,4,-189.0
2015-02-07T03:05:00Z,1060.7779784942,4,-189.0
2015-02-07T04:05:00Z,1045.8723023705,4,-189.0
2015-02-07T05:05:00Z,1092.0681475179,4,-189.0
2015-02-07T06:05:00Z,1048.5571460356,4,-189.0
2015-02-07T07:05:00Z,1099.1576219975,4,-190.0
2015-02-07T08:05:00Z,1082.839302428,4,-190.0
2015-02-07T09:05:00Z,1065.3611222665,4,-190.0
2015-02-07T10:05:00Z,1062.306724329,4,-191.0
2015-02-07T11:05:00Z,1080.9356039968,4,-191.0
2015-02-07T12:05:00Z,1077.6770235378,4,-190.0
2015-02-07T13:05:00Z,1084.8540583285,4,-190.0
2015-02-07T14:05:00Z,1064.5995464129,4,-190.0
2015-02-07T15:05:00Z,1087.7983299157,4,-189.0
2015-02-07T16:05:00Z,1101.7661813781,4,-189.0
2015-02-07T17:05:00Z,1107.6322319746,4,-189.0
